id,playerName,playerAge,playerPosition,playerHeight,playerWeight
202681,Kyrie Irving,32,G,187,88
1641788,Alex Fudge,21,F,203,90
1641765,Olivier-Maxence Prosper,21,F,200,104
1629655,Daniel Gafford,25,F-C,208,106
1629023,P.J. Washington,25,F,200,104
1630535,Greg Brown III,22,F,200,93
1628467,Maxi Kleber,32,F,208,108
1627884,Derrick Jones Jr.,27,F,198,95
1629029,Luka Doncic,25,F-G,200,104
202693,Markieff Morris,34,F,205,111
1641710,Anthony Black,20,G,200,90
1628371,Jonathan Isaac,26,F,208,104
1631216,Caleb Houstan,21,G,203,92
1629643,Chuma Okeke,25,F,200,103
1630591,Jalen Suggs,22,G,195,92
1631094,Paolo Banchero,21,F,208,113
204060,Joe Ingles,36,F-G,205,99
1630284,Kevon Harris,26,G,195,97
1630243,Trevelin Queen,27,G,195,86
1641724,Jett Howard,20,G,198,97
203914,Gary Harris,29,G,193,95
1628365,Markelle Fultz,25,G,193,94
1629021,Moritz Wagner,27,F-C,210,111
1630532,Franz Wagner,22,F,208,99
1629678,Admiral Schofield,27,F,195,109
1628976,Wendell Carter Jr.,25,C-F,208,122
1629048,Goga Bitadze,24,C-F,208,113
1630175,Cole Anthony,24,G,187,83
1630169,Tyrese Haliburton,24,G,195,83
1631097,Bennedict Mathurin,21,G-F,195,95
1630167,Obi Toppin,26,F,205,99
1629614,Andrew Nembhard,24,G-F,193,86
1641716,Jarace Walker,20,F,200,106
204456,T.J. McConnell,32,G,185,86
1631112,Kendall Brown,21,G,200,92
201949,James Johnson,37,F,200,108
203926,Doug McDermott,32,F,198,102
1631209,Isaiah Wong,23,G,190,83
1630543,Isaiah Jackson,22,F,205,92
1630174,Aaron Nesmith,24,G-F,198,97
1630188,Jalen Smith,24,F-C,205,97
1641767,Ben Sheppard,22,G,198,86
1631245,Quenton Jackson,25,G,195,78
1626167,Myles Turner,28,C-F,210,113
1627783,Pascal Siakam,30,F,203,111
1631131,Oscar Tshiebwe,24,F-C,203,115
1626220,Royce O'Neale,30,F,198,102
1626164,Devin Booker,27,G,198,93
1629006,Josh Okogie,25,G,193,96
203078,Bradley Beal,30,G,193,93
202738,Isaiah Thomas,35,G,175,83
1628960,Grayson Allen,28,G,193,89
1627814,Damion Lee,31,G-F,198,95
1629626,Bol Bol,24,C-F,220,99
1630688,Ish Wainright,29,F,195,113
1629234,Drew Eubanks,27,F-C,208,111
203994,Jusuf Nurkic,29,C,213,131
1631223,David Roddy,23,F,193,115
201569,Eric Gordon,35,G,190,97
1629642,Nassir Little,24,F-G,198,99
1628962,Udoka Azubuike,24,C-F,210,122
201152,Thaddeus Young,35,F,203,102
201142,Kevin Durant,35,F,210,108
1630240,Saben Lee,24,G,187,83
1631220,Dereon Seabron,24,G,195,81
1629627,Zion Williamson,23,F,198,128
203468,CJ McCollum,32,G,190,86
1630529,Herbert Jones,25,F,200,93
1630230,Naji Marshall,26,F,198,99
1630700,Dyson Daniels,21,G,200,90
1627742,Brandon Ingram,26,F,203,86
1630631,Jose Alvarado,26,G,182,81
202685,Jonas Valanciunas,32,C,210,120
1626204,Larry Nance Jr.,31,F-C,203,111
1641722,Jordan Hawkins,22,G,195,86
1630530,Trey Murphy III,23,F,203,93
1630604,E.J. Liddell,23,F,198,108
1630792,Malcolm Hill,28,F,198,99
1630346,Matt Ryan,27,F,198,97
203469,Cody Zeller,31,F-C,210,108
1630526,Jeremiah Robinson-Earl,23,F,203,108
1630178,Tyrese Maxey,23,G,187,90
1630231,KJ Martin,23,F,198,97
1628964,Mo Bamba,26,C,213,104
200768,Kyle Lowry,38,G,182,88
1629001,De'Anthony Melton,26,G,190,90
1626162,Kelly Oubre Jr.,28,F-G,200,92
1630288,Jeff Dowtin Jr.,27,G,190,80
202699,Tobias Harris,31,F,203,102
1641741,Ricky Council IV,22,G,198,93
1627741,Buddy Hield,31,G,193,99
203954,Joel Embiid,30,C-F,213,127
1626166,Cameron Payne,29,G,190,83
1631173,Terquavion Smith,21,G,193,72
203496,Robert Covington,33,F,200,94
201587,Nicolas Batum,35,G-F,203,104
1630194,Paul Reed,24,F,205,95
1641720,Jalen Hood-Schifino,20,G,195,97
1626156,D'Angelo Russell,28,G,190,87
1629020,Jarred Vanderbilt,25,F,203,97
203076,Anthony Davis,31,F-C,208,114
1630219,Skylar Mays,26,G,190,92
1629629,Cam Reddish,24,F-G,200,98
1629216,Gabe Vincent,27,G,187,90
1631108,Max Christie,21,G,195,86
1629637,Jaxson Hayes,24,C-F,213,99
1627752,Taurean Prince,30,F,198,98
1630658,Colin Castleton,24,C,208,113
1630559,Austin Reaves,25,G,195,89
1628385,Harry Giles III,26,F-C,208,108
1641721,Maxwell Lewis,21,F,200,88
2544,LeBron James,39,F,205,113
203915,Spencer Dinwiddie,31,G,195,97
1629060,Rui Hachimura,26,F,203,104
1626174,Christian Wood,28,F,203,97
1626196,Josh Richardson,30,G,195,90
1626179,Terry Rozier,30,G,185,86
1626153,Delon Wright,32,G,195,83
1631107,Nikola Jovic,20,F,208,92
1631288,Jamal Cain,25,F,198,86
201988,Patty Mills,35,G,187,81
1631170,Jaime Jaquez Jr.,23,G,198,102
1628389,Bam Adebayo,26,C-F,205,115
1629639,Tyler Herro,24,G,195,88
1631214,Alondes Williams,24,G,193,95
1628997,Caleb Martin,28,F,195,92
1631306,Cole Swider,25,F,203,99
202710,Jimmy Butler,34,F,200,104
1629312,Haywood Highsmith,27,F,195,99
1631115,Orlando Robinson,23,C,208,106
1628418,Thomas Bryant,26,C-F,208,112
201567,Kevin Love,35,F-C,203,113
1629130,Duncan Robinson,30,F,200,97
1641847,Andrew Funk,24,G,195,90
1629632,Coby White,24,G,195,88
1628366,Lonzo Ball,26,G,198,86
203083,Andre Drummond,30,C,210,126
1628975,Jevon Carter,28,G,185,90
1627936,Alex Caruso,30,G,195,84
203897,Zach LaVine,29,G,195,90
202696,Nikola Vucevic,33,C,208,117
201942,DeMar DeRozan,34,G-F,198,99
1630245,Ayo Dosunmu,24,G,195,90
1628470,Torrey Craig,33,F,195,100
1641763,Julian Phillips,20,F,203,89
1641931,Onuralp Bitim,25,F,198,97
1641766,Adama Sanogo,22,F,205,111
1629750,Javonte Green,30,G,195,92
1631207,Dalen Terry,21,F,200,88
1630172,Patrick Williams,22,F,200,97
1630929,Henri Drell,24,F,205,99
1628370,Malik Monk,26,G,190,90
201580,JaVale McGee,36,C-F,213,122
1630537,Chris Duarte,26,G,195,86
1628368,De'Aaron Fox,26,G,190,83
1628426,Sasha Vezenkov,28,F,203,102
1630222,Mason Jones,25,G,193,90
1628989,Kevin Huerter,25,G-F,200,89
1627734,Domantas Sabonis,28,F-C,208,108
1631099,Keegan Murray,23,F,203,102
1630558,Davion Mitchell,25,G,182,91
1630556,Kessler Edwards,23,F,200,92
1641771,Jalen Slawson,24,F,200,97
1641732,Colby Jones,22,G,198,93
1631165,Keon Ellis,24,G,190,79
203458,Alex Len,30,C,213,113
1630259,Jordan Ford,26,G,185,79
