squad_id,coach_id
31,1628210
32,1627327
33,2610
34,1301
35,201878
36,202896
37,2794
38,202978
39,203456
40,202427
41,1320
42,2345
43,1628228
44,203606
45,203005
46,1787
47,1627310
48,1658
49,202439
50,204005
51,203152
52,202588
53,204011
54,1628181
55,203624
56,2168
57,873
58,1018
59,1497
60,101273
