id,playerName,playerAge,playerPosition,playerHeight,playerWeight
1628467,Maxi Kleber,31,F,208,108
202722,Davis Bertans,30,F,208,102
1629029,Luka Doncic,24,F-G,200,104
1628371,Jonathan Isaac,25,F,208,104
1631216,Caleb Houstan,20,G,203,92
1629643,Chuma Okeke,24,F,203,103
1630591,Jalen Suggs,22,G,195,92
1631094,Paolo Banchero,20,F,208,113
1630284,Kevon Harris,26,G,198,97
1629626,Bol Bol,23,C-F,218,99
203487,Michael Carter-Williams,31,G,195,86
203914,Gary Harris,28,G,193,95
1628365,Markelle Fultz,25,G,193,94
1629021,Moritz Wagner,26,F-C,210,111
1630532,Franz Wagner,21,F,208,99
1629678,Admiral Schofield,26,F,195,109
1628976,Wendell Carter Jr.,24,C-F,208,122
1630175,Cole Anthony,23,G,190,83
1629048,Goga Bitadze,23,C-F,210,113
1630169,Tyrese Haliburton,23,G,195,83
1631097,Bennedict Mathurin,21,G-F,195,95
1629614,Andrew Nembhard,23,G-F,190,86
1630537,Chris Duarte,26,G,195,86
201588,George Hill,37,G,193,85
204456,T.J. McConnell,31,G,185,86
1631112,Kendall Brown,20,G,200,92
1629052,Oshae Brissett,25,F-G,200,95
1629670,Jordan Nwora,24,F,205,102
201949,James Johnson,36,F,200,108
1630543,Isaiah Jackson,21,F,205,92
1630174,Aaron Nesmith,23,G-F,195,97
1627741,Buddy Hield,30,G,193,99
1630188,Jalen Smith,23,F-C,205,97
1628464,Daniel Theis,31,F-C,203,111
1628221,Gabe York,29,G,190,86
1626167,Myles Turner,27,C-F,210,113
1628470,Torrey Craig,32,F,200,100
1626164,Devin Booker,26,G,195,93
1629006,Josh Okogie,24,G,193,96
101108,Chris Paul,38,G,182,79
203082,Terrence Ross,32,G-F,200,93
1627814,Damion Lee,30,G-F,195,95
1629111,Jock Landale,27,C,210,115
1630688,Ish Wainright,28,F,195,113
1629013,Landry Shamet,26,G,193,86
1626166,Cameron Payne,28,G,185,83
202687,Bismack Biyombo,30,C,203,115
203933,T.J. Warren,29,F,203,99
1629028,Deandre Ayton,24,C,213,113
201142,Kevin Durant,34,F,208,108
1630240,Saben Lee,24,G,187,83
1629647,Darius Bazley,23,F,205,97
1631220,Dereon Seabron,23,G,195,81
1629627,Zion Williamson,22,F,198,128
1626196,Josh Richardson,29,G,198,90
203468,CJ McCollum,31,G,190,86
1630529,Herbert Jones,24,F,200,93
1630230,Naji Marshall,25,F,200,99
1626195,Willy Hernangomez,29,C-F,210,113
1629637,Jaxson Hayes,23,C-F,213,99
1630700,Dyson Daniels,20,G,200,90
1630184,Kira Lewis Jr.,22,G,185,77
1627742,Brandon Ingram,25,F,203,86
1630631,Jose Alvarado,25,G,182,81
202685,Jonas Valanciunas,31,C,210,120
1626204,Larry Nance Jr.,30,F-C,203,111
1630530,Trey Murphy III,23,F,203,93
1630604,E.J. Liddell,22,F,198,108
202066,Garrett Temple,37,G-F,198,88
1630178,Tyrese Maxey,22,G,187,90
201935,James Harden,33,G,195,99
1626149,Montrezl Harrell,29,F-C,200,108
1629667,Jalen McDaniels,25,F-C,205,92
1629001,De'Anthony Melton,25,G,187,90
1630644,Mac McClung,24,G,187,83
1630531,Jaden Springer,20,G,193,91
202699,Tobias Harris,30,F,200,102
203473,Dewayne Dedmon,33,C,208,111
200782,P.J. Tucker,38,F,195,111
1629003,Shake Milton,26,G-F,195,92
1627777,Georges Niang,30,F,200,104
203954,Joel Embiid,29,C-F,213,127
1629663,Louis King,24,F,200,92
1627863,Danuel House Jr.,30,F-G,198,99
1627788,Furkan Korkmaz,25,G-F,200,91
1630194,Paul Reed,24,F,205,95
1627885,Shaquille Harrison,29,G,193,88
1626156,D'Angelo Russell,27,G,193,87
1629020,Jarred Vanderbilt,24,F,203,97
203076,Anthony Davis,30,F-C,208,114
1629022,Lonnie Walker IV,24,G-F,193,92
1627736,Malik Beasley,26,G,193,84
2544,LeBron James,38,F,205,113
1628972,Troy Brown Jr.,23,G-F,200,97
202684,Tristan Thompson,32,C-F,205,115
1631108,Max Christie,20,G,195,86
1628964,Mo Bamba,25,C,213,104
1630590,Scotty Pippen Jr.,22,G,185,77
1630559,Austin Reaves,25,G,195,89
203471,Dennis Schroder,29,G,185,78
1631306,Cole Swider,24,F,205,99
1629060,Rui Hachimura,25,F,203,104
1629117,Wenyen Gabriel,26,F,205,92
201567,Kevin Love,34,F-C,203,113
1629216,Gabe Vincent,27,G,187,90
203506,Victor Oladipo,31,G,190,96
1631107,Nikola Jovic,20,F,208,92
200768,Kyle Lowry,37,G,182,88
1631288,Jamal Cain,24,F,198,86
1628389,Bam Adebayo,25,C-F,205,115
1629639,Tyler Herro,23,G,195,88
1628997,Caleb Martin,27,F,195,92
202710,Jimmy Butler,33,F,200,104
1629312,Haywood Highsmith,26,F,195,99
1631115,Orlando Robinson,22,C,208,106
1629622,Max Strus,27,G-F,195,97
2617,Udonis Haslem,43,F,200,106
203469,Cody Zeller,30,F-C,210,108
